DATETIMEDATA,O3,WS,TEMP,RH,WD,prediction_label
2024-03-01 00:00:00,5.0,1,28,72,111,19.806879126390783
2024-03-01 01:00:00,17.0,1,28,74,108,16.912006345531136
2024-03-01 02:00:00,18.0,2,28,77,117,17.341436397401687
2024-03-01 03:00:00,19.0,1,27,78,112,17.950885514832716
2024-03-01 04:00:00,9.0,1,27,78,103,20.069255065720718
2024-03-01 05:00:00,1.0,1,27,80,98,18.521632872908654
2024-03-01 06:00:00,1.0,1,27,80,98,18.521632872908654
2024-03-01 07:00:00,0.0,1,28,76,106,21.647429801405508
2024-03-01 08:00:00,0.0,1,30,70,115,21.86612956228124
2024-03-01 09:00:00,0.0,1,30,66,127,20.808316516391432
2024-03-01 10:00:00,3.0,1,32,61,143,17.91714606647114
2024-03-01 11:00:00,1.0,1,33,54,187,16.98571928004253
2024-03-01 12:00:00,12.0,1,33,55,185,15.956542919256364
2024-03-01 13:00:00,22.0,1,33,52,187,14.564868380119837
2024-03-01 14:00:00,19.0,1,33,50,196,15.70591117430111
2024-03-01 15:00:00,0.0,1,33,51,191,17.066103744705828
2024-03-01 16:00:00,20.0,1,32,53,167,16.004972379431422
2024-03-01 17:00:00,9.0,1,31,60,172,17.748366680176318
2024-03-01 18:00:00,0.0,2,30,66,129,20.814337894578344
2024-03-01 19:00:00,1.0,1,29,69,128,20.075241060799982
2024-03-01 20:00:00,10.8950615,1,29,69,118,19.6390142197635
2024-03-01 21:00:00,0.0,1,28,70,122,20.569782992533998
2024-03-01 22:00:00,2.0,1,28,72,111,19.417997563280938
2024-03-01 23:00:00,14.0,1,28,73,115,18.060706807595686
2024-03-02 00:00:00,7.0,1,28,74,125,19.16896223146349
2024-03-02 01:00:00,11.0,1,28,72,137,18.98410729904498
2024-03-02 02:00:00,24.0,1,28,72,125,17.423992082029315
2024-03-02 03:00:00,21.0,1,28,74,121,16.61322154329424
2024-03-02 04:00:00,17.0,1,27,76,111,17.775778053228517
2024-03-02 05:00:00,0.0,1,28,76,117,20.50893065278128
2024-03-02 06:00:00,14.0,1,27,76,107,16.728622533972526
2024-03-02 07:00:00,3.0,1,28,76,108,18.84859669215255
2024-03-02 08:00:00,0.0,1,29,73,108,23.772951478791274
2024-03-02 09:00:00,2.0,1,30,71,116,19.691947756677457
2024-03-02 10:00:00,4.0,1,31,61,122,18.844260671379836
2024-03-02 11:00:00,0.0,1,32,57,141,19.762668413335597
2024-03-02 12:00:00,2.0,1,33,55,170,16.650427374586894
2024-03-02 13:00:00,4.0,1,33,55,172,17.280937961954056
2024-03-02 14:00:00,19.0,1,32,58,163,16.767022498989718
2024-03-02 15:00:00,18.0,1,31,60,176,15.512180528492179
2024-03-02 16:00:00,0.0,1,31,61,169,18.4443605359896
2024-03-02 17:00:00,6.0,1,30,66,179,18.34211844524913
2024-03-02 18:00:00,1.0,1,29,69,155,20.052570470901973
2024-03-02 19:00:00,1.0,1,29,72,144,20.797686736867277
2024-03-02 20:00:00,0.0,1,29,72,123,22.719796809876037
2024-03-02 21:00:00,10.8950615,1,29,72,105,18.6433743416151
2024-03-02 22:00:00,8.0,1,29,70,103,21.174601910545224
2024-03-02 23:00:00,1.0,1,29,70,109,21.446818259077443
2024-03-03 00:00:00,3.0,1,28,73,111,19.449841622262497
2024-03-03 01:00:00,17.0,1,28,75,105,16.871874914766067
2024-03-03 02:00:00,19.0,1,28,76,111,17.185997776207294
2024-03-03 03:00:00,20.0,1,28,76,112,17.200421448345285
2024-03-03 04:00:00,20.0,1,28,78,106,16.14410899775958
2024-03-03 05:00:00,29.0,1,27,79,109,17.267681751496266
2024-03-03 06:00:00,21.0,1,27,80,90,15.34525326634194
2024-03-03 07:00:00,19.0,1,28,76,94,15.576582135284887
2024-03-03 08:00:00,18.0,1,29,69,102,18.92888643781531
2024-03-03 09:00:00,16.0,1,31,61,109,16.210127977224296
2024-03-03 10:00:00,13.0,1,32,57,173,17.37562128630914
2024-03-03 11:00:00,22.0,1,33,54,145,14.75311861047188
2024-03-03 12:00:00,13.0,1,33,51,191,15.458392511420866
2024-03-03 13:00:00,13.0,1,33,52,187,15.08619008555677
2024-03-03 14:00:00,22.0,1,33,53,194,15.096385203560326
2024-03-03 15:00:00,24.0,1,33,50,227,18.33094970745041
2024-03-03 16:00:00,25.0,2,32,45,216,18.435657087749497
2024-03-03 17:00:00,22.0,1,31,55,186,15.708180899993108
2024-03-03 18:00:00,21.0,1,29,62,169,16.947097914659672
2024-03-03 19:00:00,22.0,1,29,66,141,17.202655201667813
2024-03-03 20:00:00,21.0,1,29,68,126,17.133126067392226
2024-03-03 21:00:00,21.0,1,29,69,125,17.450552114075137
2024-03-03 22:00:00,10.8950615,1,28,69,122,19.58506578468
2024-03-03 23:00:00,19.0,1,28,70,105,17.523949224523406
2024-03-04 00:00:00,19.0,1,28,73,98,16.57093255069237
2024-03-04 01:00:00,20.0,1,28,73,119,16.463654500076796
2024-03-04 02:00:00,20.0,1,28,74,112,17.13837317998921
2024-03-04 03:00:00,20.0,1,27,76,113,17.69861508921232
2024-03-04 04:00:00,19.0,1,27,77,110,17.21780906826543
2024-03-04 05:00:00,18.0,1,27,78,113,17.948550223849793
2024-03-04 06:00:00,13.0,1,27,81,109,18.231112837285043
2024-03-04 07:00:00,21.0,1,28,75,107,15.270538894627816
2024-03-04 08:00:00,25.0,2,29,68,115,17.665998071785555
2024-03-04 09:00:00,27.0,1,31,63,111,17.806890223300996
2024-03-04 10:00:00,28.0,1,32,56,115,16.997629588947678
2024-03-04 11:00:00,29.0,1,33,52,138,17.14813837739699
2024-03-04 12:00:00,24.0,1,33,50,151,15.861251685313423
2024-03-04 13:00:00,13.0,1,33,50,154,16.13568357370683
2024-03-04 14:00:00,30.0,2,33,51,141,17.836288732515243
2024-03-04 15:00:00,30.0,1,33,53,169,18.080664770164873
2024-03-04 16:00:00,26.0,1,32,55,181,18.119402146137343
2024-03-04 17:00:00,25.0,1,31,59,150,17.682096120043
2024-03-04 18:00:00,18.0,1,30,66,121,17.05754704580955
2024-03-04 19:00:00,27.0,2,29,70,116,17.607483081826924
2024-03-04 20:00:00,27.0,2,29,73,115,17.52673782696999
2024-03-04 21:00:00,29.0,2,28,75,113,18.66837168531768
2024-03-04 22:00:00,24.0,1,28,77,110,16.650404235306954
2024-03-04 23:00:00,10.8950615,1,28,77,110,17.96829630903916
2024-03-05 00:00:00,19.0,1,28,76,110,16.763705029798626
2024-03-05 01:00:00,15.0,1,27,80,110,16.170597038663992
2024-03-05 02:00:00,13.0,1,27,83,107,17.892338763842908
2024-03-05 03:00:00,9.0,1,27,85,107,18.910046733714676
2024-03-05 04:00:00,8.0,0,26,86,107,17.7193721889354
2024-03-05 05:00:00,10.0,0,26,86,106,18.908827305774654
2024-03-05 06:00:00,6.0,0,0,34,104,20.08511993643233
2024-03-05 07:00:00,1.0,1,0,0,106,21.03178156564531
2024-03-05 08:00:00,0.0,1,0,0,107,20.91962726707102
2024-03-05 09:00:00,5.0,1,0,15,110,19.790129715990066
2024-03-05 10:00:00,1.0,2,32,59,123,19.404699620987554
2024-03-05 11:00:00,0.0,2,33,55,123,20.231028387227365
2024-03-05 12:00:00,1.0,2,34,50,130,19.282091121275194
2024-03-05 13:00:00,21.0,2,34,48,139,13.853923967499169
2024-03-05 14:00:00,2.0,2,35,43,139,17.369464383036
2024-03-05 15:00:00,14.0,2,34,49,145,15.266609386306099
2024-03-05 16:00:00,8.0,2,33,52,146,17.90009262705188
2024-03-05 17:00:00,5.0,2,32,59,138,18.814998936516435
2024-03-05 18:00:00,12.0,2,30,64,128,18.812702443040425
2024-03-05 19:00:00,5.0,1,29,69,116,20.99683687272528
2024-03-05 20:00:00,7.0,1,29,72,111,20.840419908140962
2024-03-05 21:00:00,1.0,1,29,73,108,22.287977244176993
2024-03-05 22:00:00,5.0,0,28,74,105,19.58120936813645
2024-03-05 23:00:00,1.0,1,28,77,88,20.291584387327912
2024-03-06 00:00:00,10.8950615,0,28,78,98,16.660478765831183
2024-03-06 01:00:00,2.0,1,27,80,93,17.25984625191824
2024-03-06 02:00:00,4.0,2,27,82,88,17.883693778856145
2024-03-06 03:00:00,0.0,1,26,84,93,21.69935400228528
2024-03-06 04:00:00,4.0,0,26,85,102,23.665289922046114
2024-03-06 05:00:00,1.0,1,26,85,96,22.933091251675876
2024-03-06 06:00:00,2.0,1,26,87,89,22.57775232300668
2024-03-06 07:00:00,1.0,1,26,85,100,24.753570300889585
2024-03-06 08:00:00,3.0,1,28,75,93,18.548755912375704
2024-03-06 09:00:00,3.0,1,30,65,91,20.727933359791525
2024-03-06 10:00:00,6.0,2,32,58,84,19.259878002874455
2024-03-06 11:00:00,3.0,2,34,51,90,20.02289422817466
2024-03-06 12:00:00,3.0,2,35,46,121,17.594932652765895
2024-03-06 13:00:00,4.0,3,35,48,134,17.61414815360203
2024-03-06 14:00:00,1.0,3,35,47,139,18.057005336789388
2024-03-06 15:00:00,4.0,2,35,48,145,16.154744142109518
2024-03-06 16:00:00,18.0,3,34,53,141,15.461288659756349
2024-03-06 17:00:00,13.0,2,33,55,129,16.60517464535623
2024-03-06 18:00:00,27.0,2,31,57,120,17.184654467295825
2024-03-06 19:00:00,10.0,2,30,63,118,20.008139896460136
2024-03-06 20:00:00,1.0,1,30,68,107,21.642806332396752
2024-03-06 21:00:00,9.0,1,29,69,103,21.590360277296345
2024-03-06 22:00:00,2.0,1,29,74,94,19.619531757430945
2024-03-06 23:00:00,1.0,1,28,76,93,19.988190606843023
2024-03-07 00:00:00,0.0,0,28,80,104,21.821832772971323
2024-03-07 01:00:00,10.8950615,1,27,82,103,18.481682252320887
2024-03-07 02:00:00,3.0,1,27,84,100,20.253238633446706
2024-03-07 03:00:00,3.0,1,26,86,104,21.59659605998316
2024-03-07 04:00:00,8.0,1,26,86,97,20.711777958967428
2024-03-07 05:00:00,7.0,1,26,86,102,21.517066799234442
2024-03-07 06:00:00,2.0,0,26,88,104,21.961597180052408
2024-03-07 07:00:00,1.0,1,26,85,95,22.756911246131505
2024-03-07 08:00:00,5.0,1,29,74,99,20.270095350263862
2024-03-07 09:00:00,6.0,1,31,65,116,19.70333519146254
2024-03-07 10:00:00,12.0,2,32,58,116,17.204940317589294
2024-03-07 11:00:00,3.0,2,34,49,120,18.7077730165084
2024-03-07 12:00:00,16.0,3,35,44,130,14.526825250767251
2024-03-07 13:00:00,15.0,3,36,42,140,14.15587795050322
2024-03-07 14:00:00,8.0,3,36,39,145,16.058538273639964
2024-03-07 15:00:00,8.0,2,35,42,142,16.16373562324543
2024-03-07 16:00:00,10.0,2,34,44,139,16.493175448859773
2024-03-07 17:00:00,14.0,1,32,54,142,16.50360304160874
2024-03-07 18:00:00,24.0,1,30,60,140,16.956944106243924
2024-03-07 19:00:00,11.0,1,30,64,109,18.503373440573974
2024-03-07 20:00:00,7.0,1,30,67,106,21.146846628727744
2024-03-07 21:00:00,1.0,1,29,69,104,22.643603694957747
2024-03-07 22:00:00,2.0,1,29,74,95,19.632030829940778
2024-03-07 23:00:00,0.0,1,28,74,100,23.747095716760597
